dataset,task,n_estimators,train_accuracy,test_accuracy,train_error,test_error,train_macro_f1,test_macro_f1
covertype,multiclass_classification,10,0.67875,0.679,0.32125000000000004,0.32099999999999995,0.2953386802432682,0.2972887780219183
covertype,multiclass_classification,15,0.67875,0.679,0.32125000000000004,0.32099999999999995,0.2953386802432682,0.2972887780219183
covertype,multiclass_classification,20,0.65525,0.653,0.34475,0.347,0.260324248031151,0.2531785023326952
covertype,multiclass_classification,25,0.6785,0.68,0.3215,0.31999999999999995,0.29528745347687774,0.29885787659850294
covertype,multiclass_classification,30,0.654,0.66,0.346,0.33999999999999997,0.32382013434168044,0.3251871785528698
covertype,multiclass_classification,35,0.6545,0.66,0.34550000000000003,0.33999999999999997,0.325997069771707,0.32486450778658577
covertype,multiclass_classification,40,0.6585,0.659,0.3415,0.34099999999999997,0.3024378074435238,0.30785195860816267
covertype,multiclass_classification,45,0.6765,0.68,0.3235,0.31999999999999995,0.30790730853329,0.31502052544435877
covertype,multiclass_classification,50,0.6545,0.651,0.34550000000000003,0.349,0.3275613384287452,0.32682147187622956
covertype,multiclass_classification,55,0.6455,0.639,0.35450000000000004,0.361,0.32886801146134703,0.3233231221736969
covertype,multiclass_classification,60,0.6455,0.643,0.35450000000000004,0.357,0.33377367302728267,0.33802848247060124
covertype,multiclass_classification,65,0.63875,0.636,0.36124999999999996,0.364,0.32952443202666587,0.32884291203466176
covertype,multiclass_classification,70,0.6395,0.641,0.36050000000000004,0.359,0.3422005999643318,0.33295584032215014
covertype,multiclass_classification,75,0.617,0.608,0.383,0.392,0.32633522459675274,0.32548306914690783
covertype,multiclass_classification,80,0.6,0.591,0.4,0.40900000000000003,0.32726449745388475,0.3120241577397632
covertype,multiclass_classification,85,0.59425,0.582,0.40575000000000006,0.41800000000000004,0.3222219781139049,0.30780456493420677
covertype,multiclass_classification,90,0.61075,0.598,0.38925,0.402,0.32817643302721144,0.3354917527198477
covertype,multiclass_classification,95,0.6145,0.598,0.38549999999999995,0.402,0.33491365969526676,0.3197025451152219
covertype,multiclass_classification,100,0.6005,0.596,0.39949999999999997,0.404,0.3190586106391981,0.3346056414920944
covertype,multiclass_classification,105,0.6145,0.614,0.38549999999999995,0.386,0.31260300718095174,0.32710421172866944
covertype,multiclass_classification,110,0.603,0.594,0.397,0.406,0.3176054188930835,0.3058141571964134
covertype,multiclass_classification,115,0.598,0.582,0.402,0.41800000000000004,0.3237152597961455,0.2997873667798258
covertype,multiclass_classification,120,0.6015,0.605,0.39849999999999997,0.395,0.3295544747945905,0.32304537454465193
covertype,multiclass_classification,125,0.6,0.595,0.4,0.405,0.32973541644656873,0.3112399079963363
covertype,multiclass_classification,130,0.604,0.613,0.396,0.387,0.3350701334133021,0.3466250126018866
covertype,multiclass_classification,135,0.6085,0.607,0.39149999999999996,0.393,0.3344007887991404,0.34037064214303747
covertype,multiclass_classification,140,0.6195,0.616,0.38049999999999995,0.384,0.332117967446186,0.33815658067732546
covertype,multiclass_classification,145,0.61775,0.617,0.38225,0.383,0.3343328699149062,0.3459130068653615
covertype,multiclass_classification,150,0.6175,0.607,0.38249999999999995,0.393,0.34004393364981755,0.34402301215605424
covertype,multiclass_classification,155,0.60875,0.599,0.39125,0.401,0.3450695923111143,0.3384043612840592
covertype,multiclass_classification,160,0.60775,0.601,0.39225,0.399,0.35835237695704236,0.35057740821575484
covertype,multiclass_classification,165,0.59775,0.597,0.40225,0.403,0.35118703612971663,0.34256143182757837
covertype,multiclass_classification,170,0.60375,0.592,0.39625,0.40800000000000003,0.33115149268444416,0.3284343787340858
covertype,multiclass_classification,175,0.6075,0.603,0.39249999999999996,0.397,0.3343586640515183,0.33623030016795147
covertype,multiclass_classification,180,0.58875,0.585,0.41125,0.41500000000000004,0.33553285458643733,0.3414627014246702
covertype,multiclass_classification,185,0.58825,0.573,0.41174999999999995,0.42700000000000005,0.32439199008998454,0.32469327084844507
covertype,multiclass_classification,190,0.602,0.601,0.398,0.399,0.33355210700471044,0.33536469095348337
covertype,multiclass_classification,195,0.58925,0.571,0.41074999999999995,0.42900000000000005,0.34407755486163155,0.3307063740434203
covertype,multiclass_classification,200,0.58925,0.575,0.41074999999999995,0.42500000000000004,0.334816745852659,0.3265031410609368
