dataset,dataset_description,minority_fraction,imbalance_treatment,sweep,n_estimators,max_depth,test_accuracy,test_f1_macro,test_auc_roc,minority_recall,oob_accuracy,fit_seconds
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,70,None,0.9777777777777777,0.9777777777777777,0.999505928853755,1.0,0.9850187265917603,0.9786883000051603
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,80,None,0.9777777777777777,0.9777777777777777,0.9997529644268774,1.0,0.9850187265917603,1.1671938999788836
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,90,None,0.9777777777777777,0.9777777777777777,1.0,1.0,0.9850187265917603,1.5145665000018198
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,100,None,0.9888888888888889,0.9888875169774046,1.0,1.0,0.9812734082397003,1.550063400005456
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,110,None,0.9888888888888889,0.9888875169774046,1.0,1.0,0.9925093632958801,1.7020049999991897
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,120,None,0.9888888888888889,0.9888875169774046,1.0,1.0,0.9850187265917603,1.7935674999898765
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,130,None,0.9888888888888889,0.9888875169774046,1.0,1.0,0.9850187265917603,1.9100092000153381
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,140,None,0.9888888888888889,0.9888875169774046,1.0,1.0,0.9850187265917603,2.087958299991442
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,150,None,0.9888888888888889,0.9888875169774046,1.0,1.0,0.9887640449438202,2.147291800007224
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,160,None,0.9888888888888889,0.9888875169774046,1.0,1.0,0.9887640449438202,2.302278399991337
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,170,None,0.9888888888888889,0.9888875169774046,1.0,1.0,0.9887640449438202,2.421964199980721
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,180,None,0.9777777777777777,0.9777777777777777,1.0,1.0,0.9887640449438202,2.6607806000101846
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,190,None,0.9888888888888889,0.9888875169774046,0.9999999999999999,1.0,0.9887640449438202,2.6882101999945007
digits_3_vs_8,High-dimensional 64-feature Digits subset: class 3 vs class 8.,0.48739495798319327,none,n_estimators,200,None,0.9888888888888889,0.9888875169774046,1.0,1.0,0.9887640449438202,2.8617120000126306
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,1,None,0.992,0.7202077177903125,0.8310389871382636,0.6666666666666666,0.9948979591836735,0.4515269999974407
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,10,None,0.9972,0.8326303809332529,0.9930834673097535,0.5833333333333334,0.9977663462840125,3.634424099989701
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,20,None,0.9972,0.8326303809332529,0.9931002143622722,0.5833333333333334,0.9986599664991624,7.342714600003092
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,30,None,0.9972,0.8471228520760716,0.9939710610932476,0.6666666666666666,0.9987273945077026,10.678487700002734
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,40,None,0.9964,0.8034436669549493,0.9938705787781351,0.5833333333333334,0.9989953114534494,15.03208960001939
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,50,None,0.9968,0.832529474812433,0.9934686495176849,0.6666666666666666,0.9987273945077026,18.009077399998205
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,60,None,0.9968,0.832529474812433,0.992497320471597,0.6666666666666666,0.9986604152712659,20.882273299997905
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,70,None,0.9972,0.8471228520760716,0.9929662379421221,0.6666666666666666,0.998861352980576,24.53288019998581
covertype_type4_imbalanced,Covertype one-vs-rest: cover type 4 as the positive class.,0.0047,random_oversampling_train_only,n_estimators,80,None,0.9968,0.832529474812433,0.9927317792068596,0.6666666666666666,0.9986604152712659,39.54977680000593
