dataset,task,model,role,status,n_samples,n_features,train_size,test_size,training_time_seconds,split,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,log_loss,brier_score,expected_calibration_error
covertype (1 vs 3),binary_from_multiclass,AdaBoost (ours),project_implementation,ok,2197,54,1757,440,0.5708322999998927,train,1.0,1.0,1.0,1.0,1.0,1.0005015218890914e-12,2.0024267410628775e-24,1.0004219674897286e-12
covertype (1 vs 3),binary_from_multiclass,AdaBoost (ours),project_implementation,ok,2197,54,1757,440,0.5708322999998927,test,0.9977272727272727,0.99800796812749,0.9973684210526316,0.9976827347942636,0.9998526315789473,0.06279777543378812,0.00454545454544548,0.0022727271024109985
covertype (1 vs 3),binary_from_multiclass,"Gradient Boosting (ours, bonus)",project_bonus,ok,2197,54,1757,440,0.9633831000537612,train,0.9994308480364257,0.9995,0.9993403693931399,0.9994198419341684,0.9999986794182045,0.10714181664184741,0.021147428308351694,0.09999337080403692
covertype (1 vs 3),binary_from_multiclass,"Gradient Boosting (ours, bonus)",project_bonus,ok,2197,54,1757,440,0.9633831000537612,test,0.9977272727272727,0.99800796812749,0.9973684210526316,0.9976827347942636,0.9972210526315789,0.11126791115862715,0.024057257061397917,0.09842182810606809
covertype (1 vs 3),binary_from_multiclass,Gradient Boosting (sklearn reference only),reference_only,ok,2197,54,1757,440,0.34466150001389906,train,1.0,1.0,1.0,1.0,1.0,3.618606964291089e-05,1.1493696337177572e-07,3.6157159317484755e-05
covertype (1 vs 3),binary_from_multiclass,Gradient Boosting (sklearn reference only),reference_only,ok,2197,54,1757,440,0.34466150001389906,test,0.9977272727272727,0.99800796812749,0.9973684210526316,0.9976827347942636,0.9995052631578948,0.02391623456371153,0.004545209854419267,0.0022435802136803185
mnist_3_vs_8,binary,AdaBoost (ours),project_implementation,ok,1000,784,800,200,5.627782299998216,train,1.0,1.0,1.0,1.0,1.0,0.0011959469907440701,5.243023515247953e-05,0.0011824811250034095
mnist_3_vs_8,binary,AdaBoost (ours),project_implementation,ok,1000,784,800,200,5.627782299998216,test,0.965,0.9656641604010026,0.96468587434974,0.9649570724137069,0.9943977591036415,0.13675686621226094,0.0558050336023387,0.02879917377199561
mnist_3_vs_8,binary,"Gradient Boosting (ours, bonus)",project_bonus,ok,1000,784,800,200,18.181694399972912,train,0.98125,0.9811786109496032,0.9813320825515948,0.9812415293781098,0.9982551594746717,0.16164040560662343,0.057779292897468595,0.11694913264034372
mnist_3_vs_8,binary,"Gradient Boosting (ours, bonus)",project_bonus,ok,1000,784,800,200,18.181694399972912,test,0.97,0.9699879951980792,0.9699879951980792,0.9699879951980792,0.992296918767507,0.18990132413486815,0.07969616012607811,0.11343012030727456
mnist_3_vs_8,binary,Gradient Boosting (sklearn reference only),reference_only,ok,1000,784,800,200,2.750800900044851,train,1.0,1.0,1.0,1.0,1.0,0.011659305375726339,0.0008442481350736295,0.011438366209737271
mnist_3_vs_8,binary,Gradient Boosting (sklearn reference only),reference_only,ok,1000,784,800,200,2.750800900044851,test,0.98,0.9799919967987194,0.9799919967987194,0.9799919967987194,0.9962985194077632,0.07008458914397075,0.03538011428445425,0.018978185691825942
